train_1	A cake was cooked by the scientist .
train_2	A cake was eaten by a boy .
train_3	A fly ran .
train_4	A hen gave the flower beside a chair to Liam .
train_5	A mouse was given a cake on the table by Liam .
train_6	The boy liked that a donut was admired by Olivia .
train_7	The pickle was shortened .
train_8	Isabella forwarded a box on a tree to Emma .
train_9	A boy painted a child .
train_10	The cake was decomposed .
train_11	A boy was wired a drink by Isabella .
train_12	A jar was stabbed by the girl .
train_13	A scarf was fed to Olivia by a girl .
train_14	The box was liked by the prince .
train_15	A rose was liked by Stella .
train_16	A bottle was rolled by Olivia .
train_17	The boy noticed that a rose was frozen by Emma .
train_18	Olivia was fed the box beside the table by Emma .
train_19	Amelia drew Logan .
train_20	A girl lent the boy the cake .
train_21	Penelope giggled .
train_22	Emma liked that a game was lent to the girl .
train_23	Emma served a pen to a girl .
train_24	A squirrel valued a cookie on a seat .
train_25	Emma liked that Hazel laughed .
train_26	The cat floated a frog .
train_27	The donut was called .
train_28	Riley sneezed .
train_29	The girl froze a cake on the tree .
train_30	The donut was liked by Sophia .
train_31	Emma drew a boy .
train_32	A girl offered a rose to Isabella .
train_33	The cake was awarded to the puppy by Aiden .
train_34	Emma was brought the donut by Mila .
train_35	A boy thought that Olivia lent the ball to Emma .
train_36	A yogurt was served to a host by Liam .
train_37	Sophia gave a cake to a lawyer .
train_38	The box was respected .
train_39	Oliver poked the donut .
train_40	Liam hoped that the dog preferred to run .
train_41	A drink was poked by Liam .
train_42	The cake was handed to the child .
train_43	A boy helped the ball on a table .
train_44	The doll was appreciated .
train_45	Olivia burned Benjamin .
train_46	The cake was given to Sebastian .
train_47	A lamb helped Emma .
train_48	The pen was helped .
train_49	A girl sold Sophia a cake beside the bed .
train_50	The cake was given to a penguin by a boy .
train_51	The girl helped the banana .
train_52	A cake was frozen by Mia .
train_53	The ball rolled .
train_54	A child ate a girl in the vehicle .
train_55	Carter was given the donut .
train_56	A donut was offered to the turtle .
train_57	The cake was sent to the girl by Harper .
train_58	The girl rolled the writer .
